Reference_Text,Ground_Truth,Predicted_Summary
"SUBJECT: Does my circadian rhythm need adjusting? If so, how?
MESSAGE: I had a saliva test last July, which showed my cortisol level at 9 @ 6:30am, 5.1 @ 11:30am, 4.2 @ 4:30pm, 3.3@ 9:30pm. I wake frequently during the night and my brain seems to engage in much thought, making it difficult to go back to sleep. I wake well before the 5:45 alarm and drag myself out of bed. I am exhausted all day and can fall asleep at day or evening events I have seen endocrinologists, in addition to my GYN and primary care dr., all of whom tell me all my blood tests are normal. I take 2 sport yoga classes and a Qi Gong class weekly. I was a young 65, but at 66, the lack of sleep has finally caught up with me and I feel much older than my 66 years. I feel lethargic and heavy-chested. I want my life back. I have never seen or read anything about how or where help can be found. Can you help?","Where can I find information on low cortisol levels, including symptoms, causes and treatments?","Does my circadian rhythm need adjusting? If so, how?"
"MESSAGE: Good evening. My name is [NAME] , I am from Bosnia and Herzegovina. I'm 18 years old. I wear a cochlear implant ,hearing aid,  for 14 years. I wear it because have totally lost ability to hear. When i was eleven months old I had a fever therefor I used garamycin , but the doctors gave me too much of it so they burned my hearing nerve. I would like to know if there is any way to give me back my hearing ability without using any kind of help?     Yours faithfuly , [NAME].",What are the treatments for deafness caused by gentamicin?,Is there any way to give me back my hearing ability without using any kind of help?
"SUBJECT: ClinicalTrials.gov - Question - specific study
MESSAGE: Hi  i am  having a littel eye trouble  like  a glare  or blurr vision and  i am a typed 2 diabitic  since 2010 this promble been going own now four - six monthes now and i have low pressure in my right  eye and cloudy and blurr a  lil. I need  to know what my  problem is and can it  fix  and without going  blinding ..Reply back. .To  [CONTACT]  voice mail  or email text are accepted or [CONTACT]","Can type 2 diabetes cause blurry vision, and what are the treatments for it?",What is my problem and can it be fixed without going blind?
"SUBJECT: human chimerism
MESSAGE: My daughter, born 5 days ago, was curiously found to have c+ blood type.  Having ruled out most causes for this, we are left with a possible vanishing twin chimera and don't know where to turn for more information or research.
At this point we don't even have confirmation of whether she is xx/xx or xx/xy, or concrete exclusion of microchimerism.
Help?
I can be reached by cellular at [CONTACT]. my husband and I are local to the [LOCATION], and both [PROFESSION].
Thank you!",Where can I find information on chimerism and twin absorption?,"What are the possible causes of a newborn baby having a different blood type than the parents, and how can it be confirmed or ruled out?"
"My age is 56 years. And i am suffering from non-toxic goiter on left neck of size about 13cm from 5 years. My thyroid test of T3,T4,T5 are normal,FNAC test is normal and i am having no complications right now. 
1) Please suggest should i go for operation of my thyroid gland.?
2) Is Radioiodine treatment better then surgery for me?
Thanks 
[NAME]",What is the best treatment for non-toxic goiter?,Should I go for operation of my thyroid gland? Is Radioiodine treatment better than surgery for me?
"Cardiac Event Loop Recorder.
 is there a Cardiac Event Loop Recorder intrinsically safe?",What are the risks of a cardiac event recorder?,IS
"SUBJECT: Liquid Nutrition without Vitamin K
MESSAGE: My Mother (age 84) is often not hungry and would like to try one of those liquid meals, but was told by her doctor not to take anything with Vitamin K in it.  I have looked at the labels on all of those products and they all have vitamin K in them.  Any ideas of where to look?  Thanks so much.",What nutritional drinks do not contain vitamin K?,Where can I find liquid nutrition without Vitamin K for my 84-year-old mother?
"ClinicalTrials.gov - Question - general information.
 hello. my mane is [NAME], i am 34 years old . I have AIDS .well now everybody my co-workeds      knows my diagnose.what should i do ?how can i life ?Also store manager [LOCATION] told me ( i am jerk ,  idiot)",Where can I find support groups for people with HIV/AIDS?,What should I do to live with AIDS and how can I handle the stigma and discrimination I am facing at work?
"[NAME] submitted the following request on [DATE].
They were searching from .
NLM product:  Local Legends
Web browser:  Mozilla/5.0 (iPad; CPU OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) GSA/5.2.43972 Mobile/12F69 Safari/600.1.4
State:
MO
Country:
NONE SPECIFIED
E-Mail address:
[NAME]
Subject:
I have a Question &Need a Response
Message:
My daughter was born in 1988 with a sacralcoccygeal teratoma tumor. [NAME] did there surgery to remove the tumor. [NAME] has grown up and is now having some problems with scar tissue and digestive issues. We would like to know if she could recommend a doctor to follow up with [NAME].  She is going to see [NAME],a plastic surgent on [DATE]. Do any other patients have complications from such a large tumor? Any information to help us would be  greatly appreciated.
If it would be possible, I would love my daughter to meet [NAME], after all she was the one that saved my daughter's life. She is an amazing doctor.
Thank you,
[NAME]","What are the complications from sacralcoccygeal teratoma tumor removal, and how can I find physician(s) who specialize in it?","My daughter was born in 1988 with a sacralcoccygeal teratoma tumor. We would like to know if she could recommend a doctor to follow up with, as [NAME] has grown up and is now having some problems with scar tissue and digestive issues. Any information to help us would be greatly appreciated."
"SUBJECT: Ear Infection Treatment
MESSAGE: I was cleaning my ear with a pointed metal and mistakenly it got stock into my ear and I started seeing some blood from my ear,Since than I have being some pains in my ear and can I can be hearing some echo sound in my ear. I would be very glad to know the best medication for my ear treatment.",What are the treatments for punctured eardrum?,What is the best medication for treating an ear infection with blood and echo sounds in the ear?
"SUBJECT: Levalbuterol and Budesonide Inhalation Products
MESSAGE: After calling TEVA Pharmaceuticals, they relayed that the stability and storage information printed on their Levalbuterol 1.25 mg/3 mL and 0.63 mg/3 mL Inhalation Solution, as well as their Budesonide 0.5 mg/2 mL and 0.25 mg/2 mL Inhalation Suspension packages is information directly pulled from DailyMed, hence NIH. I am trying to determine if there is any extended stability information for either product, as the nebs are not singly packaged, and therefore a significant amount of product is being wasted in our facility due to the information provided. When name brand Xopenex was still available, Sepracor was able to provide our facility with more stablity information that enabled us to refrigerate the product in the foil pouch, continuing to protect it from light: i.e., ""allows use of product through its labeled expiry."" It would be greatly appreciated if some additional information could be provided regarding the above situation.
Thank you for your attention to this matter.
[NAME]
[LOCATION]
[LOCATION]
[LOCATION]
[CONTACT]",Where can I find extended stability information for Levalbuterol Inhalation Solution and Budesonide Inhalation Suspension?,"Can you provide extended stability information for Levalbuterol and Budesonide inhalation products, as the current information provided on the packaging is insufficient for proper storage and waste reduction?"
"SUBJECT: affects from being molested
MESSAGE: I was molested by my father when I was a child (over 45 years ago).  I've been working on recovery the past couple of years (the memories surfaced in 2010).  As part of my recovery, I'm exploring how being sodomized by my father may have damaged my rectum and surrounding areas.    What kinds of physical damage would have been done by a 22 year old male sodomizing a 5 year old boy?    I'm looking to see if that caused tears in the rectum that would have lead to having to have 9 surgeries as an adult to repair them.  I don't think they just happened.  thanks in advance.",Where can I find information on rectal damage caused by anal sex?,What kinds of physical damage would have been done by a 22 year old male sodomizing a 5 year old boy?
"I have had two groing area hernias 1-mesh 10 years ago Dr [NAME] [LOCATION],& 1-plug& mesh 1 year ago Dr [NAME] [LOCATION], after serious pain & huge bulge that never went away and serious nerve dicomfort in upper thigh area for last year, I got mri and it says I have another hernia! I then seen a Dr [NAME] [LOCATION], he says I must lose 30 pounds before operation.,he says he wants to attach mesh to hip bones thuss using bigger mesh holding etire groing area!unfortionatly I am getting apears to be infection in bulging area, I am a heavy equipment operator seatbelted in to giant bouncing earthmovers all day, most likely moving mesh inside my groing area? I dont know! question is? is this proceedure sound feasible and have researchers heard of it? I am interested in a research program if I can be helped once and for all if possible! please  give me some feedback or at least a great proceedure with a great surgin in palm springs area. thank you [NAME] [LOCATION]","Where can I find the latest research on surgery for groin hernia, and and how can I find physician(s) in Palm Springs who specialize in it?","I have had two hernias, one mesh 10 years ago and one plug and mesh 1 year ago, and I am experiencing pain and discomfort in my upper thigh area. My latest MRI shows another hernia, and my doctor wants me to lose 30 pounds before the operation. He suggests attaching mesh to my hip bones, but I am concerned about the feasibility of this procedure and whether it has been successful in the past. I am interested in a research program that could help me find a solution to my problem once and for all."
"SUBJECT: pitting edema
MESSAGE: s it normal for the skin on my legs to have pitting edema even though my legs are not swollen it is there weather they are or not. I feel like my legs are made of playdough. LOL. but seriously I have rheumatoid arthritis,vasculitis,fibromyalgia.and idiopathic urticaria.",What causes pitting edema?,"Is it normal for the skin on my legs to have pitting edema, even when my legs are not swollen, due to my underlying health conditions such as rheumatoid arthritis, vasculitis, fibromyalgia, and idiopathic urticaria?"
"SUBJECT: critical diabetic. looking for a implant
MESSAGE: Hello, I am a type one diabetic. Ive recently heard about the pancreas implants. I just wanted to find out the process in which I would take to try an receive one.",What is the latest research on pancreas transplants for type one diabetes?,What is the process for trying to receive a pancreas implant as a type one diabetic?
"SUBJECT: Irritation on the gland
MESSAGE: There is a problem on my penis gland, due to using lidokaine a lot. The skin is irritating and very sensitive especially when it is wet. Also, the gland is peeling every 3 or 4 days during a week leading to very high stimulating feelings. I have undergone several treatments for skin as well as my neurotic system but with no result at all. Please help me to cure this. Some doctors said there is no treatment for me and there would be no sexual contact forever.","What are the treatments for sensitive, irritated skin on the penis?",Can you please provide more information on your symptoms and medical history so that I can better understand your condition and provide appropriate treatment options?
"SUBJECT: Urgent Enquiry
MESSAGE: Hi,  I wish to enquire about what other non-invasive alternatives are there in diagnosing a brain injury other than an invasive mri,ct or pet scan?  Patient has a family history of cancer and is afraid of being exposed to radiation, and is also fitted with metal discs to her neck and spine after she developed scoliosis and osteoporosis. She lives in [LOCATION].  Your urgent reply would be much appreciated.   [NAME].","How is brain injury diagnosed, especially non-imaging techniques?","What are the non-invasive alternatives to MRI, CT or PET scans for diagnosing a brain injury?"
"hearing loss due to Alports Disease. If hearing loss is due to Alports Disease, is the hearing loss the same degree of both ears?",Where can I find information on hearing loss and Alports disease?,Does the hearing loss due to Alports Disease affect both ears equally?
"Metformin varieties.
 As of today, I have been on Metformin HCL 500MG twice a day, for two weeks now. Was diagnosed via 495 blood sugar result and now down to 180 this morning. Pills were prescribed from ER as I have no doctor of my own and awaiting ACA insurance. My friend gave me two bottles of Metformin her mother had used before she died, and I was wondering if I could take them myself.   The first is (according to the label on the bottle) GLIP/METFORM2.5-500MTAB TEVA USA, ONE BY MOUTH EVERY DAY WITH A MEAL. The pill is white, flat sides, oval shaped, and has 7456 on one side and 93 on the other.   The second says GLYB/METFORM 2.5/500TAB ACTAV MID Generic for GLUCOVANCE 2.5/500 TAB. TAKE TWO TABLETS BY MOUTH IN THE MORNING AND THEN TAKE ONE TABLET BY MOUTH IN THE EVENING. This pill is about the same size as the above listed pill, but with what looks like P., then 752. Nothing is on the opposite side.  I have to ask this because while I am waiting for my insurance to kick in, I cannot get a refill on the Metformin HCL I am taking now since I have no doctor to go through. So, if these extras I was given are just as generic as mine, can I take them? Would I adjust the dosage? And, if so, how should I take them (dosage and how many a day)? Being poor sucks, so I hope you can help me out... Thanks!  [NAME]",Can I take Metformin pills given to me by someone else?,Metformin varieties.
"SUBJECT: BAC (echinacea angustifolia, hydrastis canadensis, lomatium myrrha, nasturtium a
MESSAGE: Hello,
I want to purchase from you a remedy. I have Multiple Sclerosis, and there is much talk in the media about ""C. perfringens, Type B"" being a trigger for Multiple Sclerosis. Here is a link of the news http://www.bbc.com/news/health-25925658.
I would like to purchase this product ""BAC (echinacea angustifolia, hydrastis canadensis, lomatium myrrha, nasturtium aquaticum, propolis,) liquid"".  Or could you kindly recommend a remedy that will address this bacteria?  And email me how I should purchase and the total cost including the shipping so I can order it. I'm eager for your reply and thank you Kindly. Below are all my details:
[NAME]
[LOCATION]
[CONTACT]
[EMAIL]","Where can I purchase BAC (echinacea angustifolia, hydrastis canadensis, lomatium myrrha, nasturtium aquaticum, propolis,) liquid and how much does it cost?",What is the best remedy to address the bacteria 
MESSAGE: I have a gland on the bottom left side of my jaw that swells up and gets really hard causing pain. The only way to relieve it is to push it with my fingers till it runs out of a hole inside my cheek into my mouth. What could b causing this? I just want to know if i should b concerned about a type of cancer since my grandmother passed from cancer in her lymph nodes.,What are the causes and treatments for salivary gland swelling and pain?,What could be causing the swelling and pain on the bottom left side of my jaw?
"SUBJECT: 46,X,dir dup(X)(q13-q26)
MESSAGE: Hi I am from [LOCATION], I am wondering if you can help with some information on my duplication,
I have signed up to [LOCATION] here in [LOCATION] but only me, my mum and my sister and 1 other person have been found to have this genetic abnormaility. I have no idea about the other person but my sister was affected by it when she was born, when i was born we had no idea, My sister was born and tested me and my mum, showing my mum had the condition along with my sister. at that point it seemed i never had it. When i was 20 i went to my [PROFESSION] and they said my genetics department here in [LOCATION] wanted me to get retested, Found out that i do carry the same duplication. I have three younger brothers as well, two of the youngest with Autism,
None of the boys have the duplication, but i am wondering if these are linked?
I am wondering what Information do you have available regarding this duplication, I have fertility issues which i don't know of it is linked or not. My AMH level for my age at 26 is low at 4.6!!
my sister has had two children a boy and a girl none do not have the duplication. She also has Stage Two Kidney diease and was born with a horse shoe Kidney they thinks its linked
Please help! or is there anything you can advise for me in the UK to go get looked at further ?
Love from [NAME]","Where can I get information on the genetic abnormality 46,X,dir dup(X)(q13-q26), and  and how can I find physician(s) in the UK who specialize in genetic abnormalities?","Do you have any information on a genetic duplication (X) found on chromosome 13-26, which affects me and my immediate family members, including my sister who was born with the condition, and my fertility issues?"
"SUBJECT: Bruxism
MESSAGE: I understand that bruxism may be a result of tension or anxiety, but why that particular release? Why don't people clench their fists during sleep, or kick, or any number of activities? In other words, why is the jaw the most common location?",What are the causes of bruxism?,Why is the jaw the most common location for bruxism?
"SUBJECT: my infected herpes virus simplex 2 so that i can make a new baby
MESSAGE: dear ! if some one are positive herpes simplex gentle, whether they can make a baby, if his wife never get the virus before due to using condom from her husband They can choose the sperm to make the IVF to preventing the virut transmit for his wife and his baby when him new born",Can herpes virus simplex 2 be transmitted through sperm?,Can someone with herpes simplex virus 2 (HSV-2) make a baby if their spouse has never had the virus before and they used condoms during sexual intercourse?
"SUBJECT: After Rectal Prolapse!
MESSAGE: My boyfriend had surgery on his rectum because It came out of him It's been a few years! Is It normal for him to stick his finger up his anus to go to the bathroom?",What are potential complications after rectal prolapse surgery?,After Rectal Prolapse! My boyfriend had surgery on his rectum because It came out of him It's been a few years! Is It normal for him to stick his finger up his anus to go to the bathroom?
"SUBJECT: Otic suspensions
MESSAGE: Dear Sir/Madam,
I am looking for list of approved products of Otic suspensions for human use.Kindly help me to get the details.
Regards/[NAME]",Where can I get information on otic suspensions for human use?,What are the approved products of Otic suspensions for human use?
"SUBJECT: Tailbone trauma
MESSAGE: are there any risks for an elderly person to fly with a cracked or bruised tailbone? thank you in advance",Can I fly with a tailbone injury?,Are there any risks for an elderly person to fly with a cracked or bruised tailbone?
"SUBJECT: C2657+2_2657+3INSA
MESSAGE: My daughter has been diagnosed with CF and this is one of her gene mutation ( the other one is deltaf508. I am trying to find out information about this gene mutation as I believe it is quite rare and my consultant has very little information on it. I would be very grateful if you can provide any information on this gene mutation.",Where can I find information on gene mutations in cystic fibrosis?,What information is available on the CF gene mutation C2657+2_2657+3INSA?
"SUBJECT: drugs/liver failure
MESSAGE: I don't know if you can answer this, but I thought I'd try. If someone used to use drugs, mainly heroin,  and they've stopped using and are around 30 days clean, will they not be able to test negative for drugs if their liver is failing?",How long is heroin detectable in your system?,Will they not be able to test negative for drugs if their liver is failing?
"SUBJECT: Need glucosamine sulfate not containing shellfish meats
MESSAGE: Can you please help me? I have been taking a glucosamine sulfate product with MSM for my arthritis. My nutritionist warned me I could develop a shellfish allergy if it is made from the shellfish meat. The customer service of the product that I am taking confirmed their product is made from the shellfish meat of 3 crustaceans. Can you direct me to how I can find this product not made from the meats, but the shells instead. (I don't want the vegetarian version because it is so hard on the stomach). I appreciate your help.",What glucosamine sulfate is manufactured only from shellfish shells?,"Can you help me find a glucosamine sulfate product that is not made from shellfish meats, but instead from the shells?"
"SUBJECT: ClinicalTrials.gov - Question - general information
MESSAGE: My 5 yr old Grandson has Tourette's, his Dad, my son also has it. His 7 yr old brother picks his arms and leaves scars, Is there anything we can do? He has been to A Neurologists once, and he said to keep records of the 6 yr old and to come back in 6 mo, or sooner if things get worse.",What are the symptoms of tourette's syndrome and their treatments?,Is there anything we can do to help my 6 yr old Grandson who picks his arms and leaves scars?
"ClinicalTrials.gov - Question - general information. Is there any information out there regarding people who have both, Charcot Marie Tooth Disease and Parkinson's ? My husband has both. Not too much info. In [LOCATION] about these two diseases together. However, as a care giver, this is a tough one! Any studies genetically or otherwise on these two together? Thanks, [NAME]",Where can I find information on  Charcot Marie Tooth Disease with Parkinson's disease?,"Is there any information out there regarding people who have both, Charcot Marie Tooth Disease and Parkinson's?"
"SUBJECT: Hematoma following basal cell carcinoma
MESSAGE: Is this common after surgery.  What is the cause?",What causes hematoma after surgery?,What is the likelihood of developing a hematoma following basal cell carcinoma surgery?
"SUBJECT: pseudogout
MESSAGE: @ http://www.nlm.nih.gov/medlineplus/ency/article/000421.htm I see the statement ""There is no known way to prevent this disorder. However, treating other problems that may cause pseudogout may make the condition less severe"" which I would like to have explained, especially what those other problems are &how they may be treated. I'm especially interested in whether supplemental calcium may not be good to take.",What are the treatments for pseudogout?,What are the other problems that may cause pseudogout and how can they be treated?
"IP. My daughter has IP and was diagonsed when she was born 27 years ago, she is now pregnant, what do we need to do about having her tested besides a amnio, I heard on the news 3 weeks ago about blood tests that identify chromosome problems with a blood test....Will [LOCATION] still have her medical records from way back then? At the time we belonged to [LOCATION], how do we get information to her current doctor who knows nothing about this, I would not like her to have a ammnio due to the chance of miscarage.",What prenatal genetic testing is available for Incontinentia Pigmenti (IP)?,What blood tests are available to identify chromosome problems in a pregnancy besides amniocentesis?
"SUBJECT: High Blood Pressure
MESSAGE: I know you may not answer this but my blood pressure comes up at night when I am asleep. I take four medicines. I have asked doctors why this happens and no one knows. This morning at four A.M. It was 164 and I took a clonidine to help get it done. It worries me so.",What causes a rise in blood pressure when asleep?,"What is the reason for high blood pressure at night while sleeping, despite taking four medications, and why do doctors not know the answer?"
Customer Service Request. I am looking for a company/research facility that can do genetic testing on the UGT group of genes.  Does such a place exist?  How would I go about getting this type of testing done?,Where can I find information on genetic testing for UGT abnormalities?,Does such a place exist?
"SUBJECT: ClinicalTrials.gov - Question - general information
MESSAGE: A friend had chemo for breast cancer.  She has developed a foam in her mouth that appears to come from her gums.  She has been to every doctor, but no one can diagnose.  She has tried everything recommended and nothing seems to work.  She has gone into a deep depresstion because of this constant foam.  Would there be any studies available?  Could someone give an idea of what could be causing this problem in her mouth?  Is there any interest of looking into her case?  Thank you.",What causes foamy saliva?,Has my friend been diagnosed with any oral side effects from chemotherapy?
"I had my house sprayed to eradicate crickets and spiders.  I immediately started feeling very ill. I had a very tight chest, racing heart pulse, terrible tiredness and sore throat and very sore red eyes. That was over a month ago.  I still have a very sore throat bad chest and sore eyes. Is it possible that the spray is still giving off a harmful effect in my home.  Every day I find masses of dead crickets and an assortment of flying insects lying all over my house.",How long will an insecticide application last in the house?,Is it possible that the spray is still giving off a harmful effect in my home?
"SUBJECT: I need help
MESSAGE: Dear sir, I need  your help. I am [NAME], I have some question to ask you. My uncle a heart problem due to a gastro problem and bleeding from the intestinal the doctor says. He is an handicap person. Now he is a little bit ok , it's just that he is suffering from his belly a lot, but he is stop bleeding from inside. He often have breath problem also, i give him smetimes ventoline spray. We don't know what we treatment we should give him, Please I need your help. Thank you in advance sir.  Best regards [NAME].",What are the treatments for breathing difficulties?,"What is the best treatment for my uncle's gastrointestinal problem, which caused a heart problem and bleeding, and how can we manage his breathing problems, which require Ventoline spray?"
"SUBJECT: Before I get married
MESSAGE: Can this help when I marry the Girl I'mWith ( In vitro) her family has something cAlled Pheochromocytoma Paraganglioma only her brother and father have it. She is just a carrier. Will you think In vitro might prevent it if we have kids?",How is Pheochromocytoma Paraganglioma inherited?,Will in vitro fertilization prevent the transmission of Pheochromocytoma Paraganglioma to our children if my partner is a carrier?
"SUBJECT: Eye muscle surgery as a result fo a TBI cycling accident
MESSAGE: I had surgery on the muscles of two eyes as a result of a cycling accident in [LOCATION] in [DATE] 2012 resulted in hospitalized care for s Traumatic Brain Injury.  My eyes were given a year to heal but some double vision occurred and my vision was off center.  Recovery amazing but eyes were a problem (double vision),  Surgery 10 days ago (May) getting mixed opinions on when to go back to sports; cycling, lifting small weights.  Is it 2 week, 4 weeks or 8 weeks of doing nothing.",When can I resume exercising  after eye muscle surgery?,"What is the recommended time frame for complete recovery after eye muscle surgery following a Traumatic Brain Injury (TBI) cycling accident, and when can I safely resume sports such as cycling and lifting small weights?"
MESSAGE: What if someone throw up blood just a little got a little light headed and just laid down and went to sleep they said they will sleep it off but I want to take they said I'm fine. What should I do,Should someone who vomited blood and  felt lightheaded go to sleep? ,What if someone throws up blood?
"MESSAGE: I have been dealing with an autoimmune disease for almost 4 years now, I've been tested for many things and the doctors can't seem to find what excactly is wrong. It began with pain, swelling and stiffness in my feet and  toes.A lot of the pain is joint stiff n ess and my skin feels like its being burned. Over time it has moved into my knees also. I am always tired. Recently I've been getting pains in my stomache and feeling sick. Does any of this sound like Lupus?? I've tested negative for it before, but the more I read about it I feel that's what i could have. Any ideas would be greatly appreciated.",What are the symptoms of lupus?,"What could be causing my persistent pain, swelling, stiffness, and fatigue, as well as recent abdominal pain and sickness, which has been ongoing for almost 4 years, despite multiple tests and lack of a definitive diagnosis?"
"hello medineplus,
i am a student an i am suffering from muscular dystrophy...i just want to
know that, is muscular dystrophy belongs to locomotor disability?
thanks,

yours sincerely",What is a locomotor disability and is it related to muscular dystrophy?,Is muscular dystrophy a locomotor disability?
"SUBJECT: Blood pressure
MESSAGE: Take blood pressure med atenolol 50mg, blood pressure running 91/59 HR65, most of the time lower in the upper to mid 80's.  My doc is not in for 3 day's.  What can I do to raise it.  I am on anxiety, pain & muscle relaxers for a medical condition in my neck and legs that I can't have surgery on again.  Please how do I get my pressure back up until I can get to my doctor?  I am so tired and can't get rid of the headache.",What are the treatments for low blood pressure?,How can I raise my blood pressure until I can see my doctor?
"MESSAGE: Four years back my ankle had hit by the stone and there is small reddish pot from inside the ankle, due to which I can't walk properly and it pains and even gets swollen once I start walking. Is this pain temporary or life long or it will never get heel forever.  What type of pain is this? What treatment would you suggest me?",What are the causes and treatments for ankle swelling and pain?,Is this pain temporary or life-long?
"Customer Service Request. Dear Sir/Madame, I have a rare genetic disease called Pallido Ponto Nigral Degeneration which is caused by an N279k mutation on exon 10 chromosome 17 and I was wondering if gene therapy could be an option for me.  Please email me at [CONTACT] to let me know. Thank you, [NAME]",Is gene therapy available for Pallido Ponto Nigral Degeneration?,Could gene therapy be an option for me?
"SUBJECT: Azithromycin Oral Suspension Stability/Storage
MESSAGE: I am a pharmacy technician, and I work at an in-patient pharmacy. We carry Azithomycin 100mg/5mL Oral Suspension. We have been having some technicians putting the Reconstituted Suspension into our fridge. Our fridge is kept at a pretty steady 5* Celsius temperature. I know that the lower range of the stability is at 5*C. Is it a problem to keep it that cold? Should the suspension be kept out of the fridge?",How should Azithomycin Oral Suspension be stored?,Is it safe to store Azithromycin Oral Suspension at 5*C (fridge temperature)?
"SUBJECT: Childhood suffers of lead poisoning as adults
MESSAGE: Hi.  My name is J[NAME]  When I was three years old, I suffered from mild/moderate lead paint poisoning.  I'm now 38 years old and looking for ways to treat the long-term symptoms that originated with the lead exposure.","What are the long-term effects of lead poisoning, and how can they be treated?",Hi. My name is J[NAME] and I suffered from mild/moderate lead paint poisoning when I was three years old. I'm now 38 years old and looking for ways to treat the long-term symptoms that originated with the lead exposure.
"SUBJECT: ClinicalTrials.gov - Question - general information
MESSAGE: I am writing on behalf of my friend that is reading us in copy but doesn't speak english as good as me.
His name is:
[NAME]
He was born in Italy, on [DATE]
He lives in Milan, Italy.
He is affected by HCV Genotype IIIA with a cirrhosis of the liver, in evolution, and his present desease does not permit to be attactd by regular medicines/therapies. (platelet minus of 50.000)
He has a prescription, for Sovaldi treatment, from an italian doctor and he is ready to come to US or other country to get it also from an American Doctor, but the cost of such treatment is impossible for him.
In italy the medicine is not available.
He is followed by [LOCATION], one of the top italian hospital.
His doctor is [NAME], that is ready to talk with you whenever needed.
[NAME], suggested by his doctor, is interested to become one of your patient as a case study.
[NAME] would like to enter into the research/trial program, in subject, with you in order not to pay the cost of Sovaldi that he cannot afford.
According to his doctor his treatment should go on for 6 month with a conjunction of Sovaldi and Ribavirina.
All my info you can find them below, and for [NAME] the email is the one in copy ([CONTACT]).
You can send both to me directly and cc him or viceversa. Anyhow i will have to make the translation!!!
In case, hopefully not, the treatment will not work, he is ready to change treatment with eventually other new products you are testing  and or new association.
Looking forward in hearing from you soon.
sincerely
[NAME]
[CONTACT]",Are there clinical trials for patients with Hepatitis C genotype 3A?,Does [NAME] have a chance to participate in a clinical trial for HCV Genotype IIIA with cirrhosis of the liver and be treated with Sovaldi and Ribavirina for 6 months without paying the cost of the treatment?
"Epididymis.
 Why does it hurt when if I don't finish my ejaculation or when I use the restroom and take a stool  or leave a stool which ever it is my balls sometimes hurt.",What are the causes of testicular pain?,Why does it hurt when I don't finish my ejaculation or when I use the restroom and take/leave a stool?
"SUBJECT: dressings
MESSAGE: my dad had some skin cancer removed 3 wks ago and a skin graft was performed. The doner site is healing well, but the graft site is still very sore and having dressings changed every 2/3 days, dad isnt convinced that the wet gauze dressings are any good. Which type of dressings should be being used?",What types of dressings are used for skin graft sites?,What type of dressings should be used for a skin graft site that is still sore after two to three weeks after surgery?
"SUBJECT: Need help!
MESSAGE: I have a knot about the size of a BB in my right forearm about 2-3 inches from my elbow. It's been there for about 5 years and hurts sometimes. Mostly only notice it when i put pressure on it. You can't see it but can feel it pretty good. It will move about a cm in any direction. I went to the doctors about 4 years ago to have it looked at but they did no xray and said its prob a BB from when i was younger. It's starting to hurt more now without me putting pressure on it so i'm thinking i need to have something done about it. Any ideas on what it could be or what i should do about it?",What causes lumps on the arm?,What could be the cause of a knot about the size of a BB in my right forearm that has been present for about 5 years and is starting to hurt more without pressure?
"SUBJECT: Frontometaphyseal dysplasia
MESSAGE: My son has Frontometaphyseal Dysplasia ehich is listed on your site. Do you have any information realgarding how to contact anyone else with this syndrome? Kind regarfs",Where can I find support groups for people with Frontometaphyseal dysplasia?,Do you have any information regarding how to contact anyone else with this syndrome?
"SUBJECT: Blood Sugar Levels and Parkinson's
MESSAGE: I'm wondering if there is a correlation between blood sugar level's and how it may effect the presentation of Parkinson's particularly in tremors. It seems that extreme blood sugar levels would make the tremors a great deal worse and appearing none typical.",Is there a connection between blood sugar levels and symptoms of Parkinson's disease?,"Does there exist a correlation between blood sugar levels and the presentation of Parkinson's, particularly in regards to tremors?"
"MESSAGE: Hi, I would like to know if the legs shortening can be done for a regular person as well, to simply reduce the overall body height. Thank you!",Is leg shortening surgery performed to reduce body height?,Can legs shortening be done to reduce overall body height for a regular person?
"SUBJECT: Left hip replacement surgery
MESSAGE: In  [DATE], I had a total left hip replacement surgery, during that surgery, my femur was broken.  Two weeks later, there was a a revision fine due to possible infection in that same left hip. Today is [DATE] and my question is what should I be expected to be doing? I still rely on my walker, I am 54 years young and I suffer from Chronic Osteoarthritis in my lower extremities which is the reason for hip replacement at such an earlier age.",What is the recovery time and expected activities for hip replacement surgery and a broken femur?,"What should I be expected to be doing after a total left hip replacement surgery, given that my femur was broken during the initial surgery, and I had a revision fine due to possible infection two weeks later, and I still rely on a walker and suffer from Chronic Osteoarthritis in my lower extremities?"
"SUBJECT: Shingles
MESSAGE: I have had /Shingles for over 10 years, and have been working with my physician, using Lidocain and Lyrica. Even with these, it's painful, particularly in my house, and some rooms in the building where I work. I experience this during, and immediately after these rooms are been cleaned with detergents. Is this my imagination, or there is a connection between certain detergents and pain, with Shingles?",Do detergents exacerbate shingles pain?,Is there a connection between certain detergents and pain with Shingles?
